q_value,lowmfold,mcc
0.03,3,0.6940365118821088
0.03,3,0.6940365118821088
0.03,3,0.6940365118821088
0.03,3,0.6940365118821088
0.03,3,0.6947988564667258
0.03,3,0.6947988564667258
0.03,3,0.6947988564667258
0.03,3,0.6947988564667258
0.03,3,0.667268441153532
0.03,3,0.667268441153532
0.03,3,0.667268441153532
0.03,3,0.667268441153532
0.03,3,0.7354308444943293
0.03,3,0.7354308444943293
0.03,3,0.7354308444943293
0.03,3,0.7354308444943293
0.03,3,0.7498596870931131
0.03,3,0.7498596870931131
0.03,3,0.7498596870931131
0.03,3,0.7498596870931131
0.03,3,0.7485509163500211
0.03,3,0.7485509163500211
0.03,3,0.7485509163500211
0.03,3,0.7485509163500211
0.03,3,0.6803027542116533
0.03,3,0.6803027542116533
0.03,3,0.6803027542116533
0.03,3,0.6803027542116533
0.03,3,0.7616949082549219
0.03,3,0.7616949082549219
0.03,3,0.7616949082549219
0.03,3,0.7616949082549219
0.03,3,0.7208468386428944
0.03,3,0.7208468386428944
0.03,3,0.7208468386428944
0.03,3,0.7208468386428944
0.03,3,0.7485509163500211
0.03,3,0.7485509163500211
0.03,3,0.7485509163500211
0.03,3,0.7485509163500211
0.03,4,0.721293714116065
0.03,4,0.721293714116065
0.03,4,0.721293714116065
0.03,4,0.721293714116065
0.03,4,0.6947988564667258
0.03,4,0.6947988564667258
0.03,4,0.6947988564667258
0.03,4,0.6947988564667258
0.03,4,0.734564190240499
0.03,4,0.734564190240499
0.03,4,0.734564190240499
0.03,4,0.734564190240499
0.03,4,0.7354308444943293
0.03,4,0.7354308444943293
0.03,4,0.7354308444943293
0.03,4,0.7354308444943293
0.03,4,0.7092406666984212
0.03,4,0.7092406666984212
0.03,4,0.7092406666984212
0.03,4,0.7092406666984212
0.03,4,0.7485509163500211
0.03,4,0.7485509163500211
0.03,4,0.7485509163500211
0.03,4,0.7485509163500211
0.03,4,0.7616949082549219
0.03,4,0.7616949082549219
0.03,4,0.7616949082549219
0.03,4,0.7616949082549219
0.03,4,0.7616949082549219
0.03,4,0.7616949082549219
0.03,4,0.7616949082549219
0.03,4,0.7616949082549219
0.03,4,0.7354308444943293
0.03,4,0.7354308444943293
0.03,4,0.7354308444943293
0.03,4,0.7354308444943293
0.03,4,0.7485509163500211
0.03,4,0.7485509163500211
0.03,4,0.7485509163500211
0.03,4,0.7485509163500211
0.03,5,0.7498596870931131
0.03,5,0.7498596870931131
0.03,5,0.7498596870931131
0.03,5,0.7498596870931131
0.03,5,0.6947988564667258
0.03,5,0.6947988564667258
0.03,5,0.6947988564667258
0.03,5,0.6947988564667258
0.03,5,0.6947988564667258
0.03,5,0.6947988564667258
0.03,5,0.6947988564667258
0.03,5,0.6947988564667258
0.03,5,0.7354308444943293
0.03,5,0.7354308444943293
0.03,5,0.7354308444943293
0.03,5,0.7354308444943293
0.03,5,0.7485509163500211
0.03,5,0.7485509163500211
0.03,5,0.7485509163500211
0.03,5,0.7485509163500211
0.03,5,0.7485509163500211
0.03,5,0.7485509163500211
0.03,5,0.7485509163500211
